"SEQN","FPCA_score_1","FPCA_score_2","FPCA_score_3"
62174,-1410.36149189728,37.6978415149237,-37.0896845112187
62177,-134.863309768076,-248.66991658742,-109.376630917472
62178,-1344.22595798765,106.035808027787,16.4376409508329
62179,-439.42905518756,855.002275342131,-375.85220571844
62191,-1588.23912966252,103.244194110147,32.7843579683518
62199,988.500686276354,206.043675408949,387.237444921857
62209,441.324568557351,96.0689068698415,-75.109847970397
62215,777.594632256666,-530.756782563392,148.529308265909
62217,-423.778367226717,252.244369938626,89.5424953504595
62223,544.59626741762,-232.729327404027,160.605454826521
62226,-608.988697964418,31.3154594420113,132.411434542675
62228,-777.378981868606,66.2518555589325,-41.380189106267
62230,-980.837955325211,-82.8279993698576,234.924552981246
62233,-557.539293027964,-9.05742452539691,326.947511053468
62236,627.120491695424,-389.121544652912,404.026034961995
62237,408.138023038982,-672.220128474775,-15.3543068972307
62248,-159.971840009656,348.158514458856,-250.631811311848
62251,-84.7293538958516,-64.8480318603955,-254.063263585339
62255,-183.552234537907,-77.636124805384,198.191984002372
62256,-1430.48436402565,-37.3724308619284,74.7890477760102
62259,-923.032440421873,178.857184093336,-28.2564658401503
62264,235.987299872388,274.861038387762,758.691050314059
62265,1148.57940036073,728.93846290914,46.4284029712355
62277,149.388593999465,258.660416354216,289.513230166669
62278,-554.733568691935,-26.726816099941,172.174967684429
62279,-1369.32219658813,76.633959095849,194.693047006092
62280,-667.892680650541,-19.8307181101509,279.806321382675
62282,-223.551247644866,-162.560578762621,-216.376442399981
62284,999.020145273577,176.243630827772,-3.02643627122938
62287,-997.055974637644,99.0506064949826,43.8777305352801
62289,-1070.30061904901,-19.8245708547998,25.9720492441045
62291,2018.89603654029,614.412920765249,-15.1186031189041
62293,-1035.25179462928,-248.990035299982,19.7627806554937
62295,-163.369910524901,-70.245065442009,259.904144050736
62302,955.925595942505,-104.930839005396,167.973073687475
62303,-38.4405284807275,-4.29985889183473,-212.976587468698
