"time","surv","cumhaz"
1,0.99993289753271,6.71047187609615e-05
2,0.999461745951925,0.000538398958786555
3,0.999191309512283,0.000809017654265884
4,0.998783052619872,0.00121768846189039
5,0.998714788051915,0.00128603854126816
6,0.998578107367874,0.00142290448072817
7,0.998028288565548,0.00197365781633191
8,0.997543447381192,0.00245957489479382
9,0.996913806269745,0.00309096584710588
10,0.996702792653391,0.00330265511299207
11,0.99649146039494,0.00351470896466223
12,0.996137639714739,0.00386983846056321
13,0.995924309849147,0.00408401841260099
14,0.995137327476673,0.00487453378259663
15,0.99492182673433,0.00509111100617279
16,0.993982224840659,0.00603595493952124
17,0.99369067460078,0.00632931331056144
18,0.993178342941517,0.00684503092062511
19,0.992663009111038,0.00736403898893165
21,0.992366901940814,0.00766237925148598
22,0.991398304688194,0.00863890341508619
23,0.990872204556032,0.00916970901609843
24,0.990343301416731,0.00970362685620348
25,0.989811293751161,0.0102409663949134
26,0.989505006761899,0.0105504540615663
27,0.988656553407731,0.011408274194441
28,0.988191280742448,0.0118789959827716
29,0.987568462243576,0.0125094557557404
30,0.986629286294071,0.0134609065625812
31,0.985999727840297,0.0140992004035795
32,0.985128571998415,0.0149831163807108
33,0.984410569568814,0.015712223455818
34,0.983768124436592,0.0163650555965128
35,0.983203201717071,0.016939464310603
36,0.982392263604234,0.0177645966159566
37,0.982066194887103,0.0180965646641649
38,0.981492815787745,0.0186805849177335
39,0.980833419615321,0.0193526405477769
40,0.979667973465518,0.020541567310288
41,0.978910747937114,0.0213148071682103
42,0.978317886796716,0.0219206241361504
43,0.977293127081648,0.0229686442194809
44,0.976603622612249,0.0236744179489556
45,0.976083402485557,0.0242072428536256
46,0.975296349363318,0.0250139061022038
47,0.974767887640842,0.0255559002841234
48,0.973792466869734,0.0265570710719056
49,0.973346475959022,0.0270151697814546
50,0.972720362536675,0.0276586352900022
51,0.971637820785667,0.0287721563193582
52,0.970544232251258,0.0298983006458112
53,0.969994029258593,0.0304653629071652
54,0.968421968510938,0.0320873688069569
55,0.967394305793065,0.0331491047041633
56,0.966076215397353,0.0345125499550308
57,0.965317803969502,0.0352979013222055
58,0.963980356969134,0.0366843611672324
59,0.963401366590041,0.0372851662796099
60,0.962719405553974,0.0379932849754123
61,0.961723022515574,0.0390287881558654
62,0.960801254633527,0.0399877023954771
63,0.959532901137971,0.0413086742442359
64,0.958663628792763,0.042215017667498
65,0.957767115000569,0.0431506255526201
66,0.956628861335117,0.0443397774455982
67,0.955352177435115,0.0456752342977898
68,0.953770197621191,0.0473325195474748
69,0.952882265559382,0.0482639238208245
70,0.951185850804915,0.0500458088161636
71,0.950243005632723,0.0510375316947503
72,0.948855166290966,0.0524991092048909
73,0.948139487914607,0.0532536484005892
74,0.947699138721195,0.0537181913159451
75,0.946491615045877,0.0549931672775709
76,0.945221897626441,0.0563355667493757
77,0.944394676409583,0.0572111107947331
78,0.943169490004114,0.0585092776060447
79,0.941142966208538,0.0606602208535018
80,0.940179989643679,0.0616839437033867
81,0.939361392543177,0.062555004229129
82,0.93871670342019,0.0632415455925524
83,0.936901063340008,0.0651775910699249
84,0.935958222757132,0.0661844373071457
85,0.934731383290683,0.0674960815674997
86,0.934481299667174,0.0677636633438066
87,0.933706077608045,0.068593582347708
88,0.932887252276161,0.0694709297284129
89,0.932020582447907,0.070400380368824
90,0.93110953739094,0.0713783529965848
91,0.929467417781721,0.0731435259242993
92,0.929112580930972,0.0735253624396023
93,0.926923179900682,0.0758845864287077
94,0.924957829115326,0.0780071326545677
95,0.923192919586535,0.0799170526830425
96,0.922242471915775,0.0809471052756963
97,0.921707730062262,0.081527101273343
98,0.921707730062262,0.081527101273343
99,0.921048169112258,0.0822429432125432
100,0.919560122684756,0.083859850795029
101,0.918700711617628,0.0847948771130627
102,0.917681605259136,0.0859047837525948
103,0.917681605259136,0.0859047837525948
104,0.916110558130098,0.087618224942683
105,0.913784588978944,0.090160414758863
106,0.913784588978944,0.090160414758863
107,0.913784588978944,0.090160414758863
108,0.913784588978944,0.090160414758863
109,0.913784588978944,0.090160414758863
110,0.913784588978944,0.090160414758863
111,0.913784588978944,0.090160414758863
