"week_hour","mean_steps"
0,84.1841615505044
1,66.6025017190393
2,66.9218827470599
3,85.3262624697507
4,120.658396507403
5,170.504057538578
6,231.370893414251
7,298.947800045664
8,368.424539480148
9,434.846889838273
10,493.480202223344
11,540.154009046403
12,571.562238605225
13,585.497424809038
14,581.002690541521
15,558.431748759747
16,519.414163157045
17,466.730081682715
18,404.105076047572
19,335.941137083403
20,267.0039427831
21,202.089010083309
22,145.69017027463
23,101.69300383638
24,73.1135765069703
25,61.8992664808378
26,68.8039582847366
27,93.3447349233776
28,133.841771718255
29,187.537759718006
30,250.78817502154
31,319.309336478704
32,388.467685653989
33,453.591256060812
34,510.282995408287
35,554.715530081745
36,583.888121726761
37,595.828907644605
38,589.728924305832
39,565.998710235198
40,526.24323652599
41,473.156235031653
42,410.340361156263
43,342.064692574916
44,272.975478022906
45,207.7794855644
46,150.921481193501
47,106.278095180137
48,76.8895014096709
49,64.747953036052
50,70.6584146827711
51,94.181551978741
52,133.663530048914
53,186.35085759643
54,248.582360573162
55,316.044752982481
56,384.073631109564
57,447.978417154341
58,503.368078750676
59,546.454483035164
60,574.311998043061
61,585.075281327298
62,578.061821816718
63,553.811352314236
64,514.040287084876
65,461.515395120856
66,399.856541288536
67,333.283111112582
68,266.322357735238
69,203.500151630213
70,149.035369172478
71,106.558434329444
72,78.872443530092
73,67.7720608362855
74,73.9312385039143
75,96.8661070543028
76,134.974414426509
77,185.647993184654
78,245.450188951904
79,310.346242515532
80,375.971483389559
81,437.92001156595
82,492.035410119547
83,534.684985005882
84,563.000060388797
85,575.066911072106
86,570.055885409341
87,548.280015908584
88,511.178742314197
89,461.227056425095
90,401.775159720561
91,336.828320783537
92,270.780735807049
93,208.1205450678
94,153.12548117066
95,109.569710437083
96,80.4621375223958
97,67.834725804699
98,72.5962964042293
99,94.4629699850387
100,131.971175777554
101,182.573329993759
102,242.810305468873
103,308.549133742405
104,375.269452679115
105,438.37844464559
106,493.531726274268
107,536.937059613841
108,565.618927039875
109,577.624872465339
110,572.158839864225
111,549.632192556027
112,511.629233875731
113,460.790377089388
114,400.622124181911
115,335.248238321147
116,269.120537924716
117,206.710314610878
118,152.202326703765
119,109.212627264798
120,80.549267782438
121,68.0314092621504
122,72.3778943777411
123,93.1712658347626
124,128.897954434144
125,177.060286907414
126,234.351414067352
127,296.880501871965
128,360.432748363047
129,420.747090283286
130,473.793866979008
131,516.035170142835
132,544.652027285713
133,557.72480940878
134,554.356162854668
135,534.729176186122
136,500.097237903137
137,452.705954005731
138,395.651410862023
139,332.682821932199
140,267.961015856657
141,205.787132896165
142,150.318120179962
143,105.286984149537
144,73.7461215222034
145,57.8512955690135
146,58.7018958360228
147,76.2500337566484
148,109.286888901202
149,155.50973094408
150,211.667493775995
151,273.77704353752
152,337.396790903105
153,397.939501748654
154,451.002494091077
155,492.69124714322
156,519.912062928103
157,530.610948061941
158,523.939298827039
159,500.332083153254
160,461.490663749048
161,410.269705521744
162,350.475168471203
163,286.587569431909
164,223.430879679635
165,165.812059171326
166,118.158885837592
167,84.1841615505049
