"FPCA_score_1","spline_1","spline_2"
-4719.818,0,0
-4718.818,0.000105438031783235,-6.03175127344402e-05
-4717.818,0.000210876059860251,-0.000120635021078365
-4716.818,0.000316314080524831,-0.000180952520641257
-4715.818,0.000421752090070755,-0.000241270007032603
-4714.818,0.000527190084791805,-0.000301587475861885
-4713.818,0.000632628060981762,-0.000361904922738588
-4712.818,0.000738066014934409,-0.000422222343272197
-4711.818,0.000843503942943527,-0.000482539733072195
-4710.818,0.000948941841302896,-0.000542857087748067
-4709.818,0.0010543797063063,-0.000603174402909296
-4708.818,0.00115981753424752,-0.000663491674165367
-4707.818,0.00126525532142033,-0.000723808897125765
-4706.818,0.00137069306411852,-0.000784126067399973
-4705.818,0.00147613075863588,-0.000844443180597475
-4704.818,0.00158156840126617,-0.000904760232327757
-4703.818,0.00168700598830318,-0.000965077218200302
-4702.818,0.0017924435160407,-0.00102539413382459
-4701.818,0.00189788098077251,-0.00108571097481012
-4700.818,0.00200331837879238,-0.00114602773676636
-4699.818,0.0021087557063941,-0.00120634441530279
-4698.818,0.00221419295987146,-0.00126666100602892
-4697.818,0.00231963013551822,-0.00132697750455421
-4696.818,0.00242506722962817,-0.00138729390648815
-4695.818,0.00253050423849511,-0.00144761020744023
-4694.818,0.00263594115841279,-0.00150792640301993
-4693.818,0.00274137798567502,-0.00156824248883674
-4692.818,0.00284681471657556,-0.00162855846050013
-4691.818,0.00295225134740821,-0.0016888743136196
-4690.818,0.00305768787446673,-0.00174919004380463
-4689.818,0.00316312429404492,-0.0018095056466647
-4688.818,0.00326856060243656,-0.00186982111780929
-4687.818,0.00337399679593542,-0.0019301364528479
-4686.818,0.00347943287083529,-0.00199045164739
-4685.818,0.00358486882342995,-0.00205076669704508
-4684.818,0.00369030465001318,-0.00211108159742262
-4683.818,0.00379574034687877,-0.0021713963441321
-4682.818,0.00390117591032048,-0.00223171093278302
-4681.818,0.00400661133663212,-0.00229202535898486
-4680.818,0.00411204662210745,-0.00235233961834709
-4679.818,0.00421748176304026,-0.00241265370647921
-4678.818,0.00432291675572433,-0.0024729676189907
-4677.818,0.00442835159645344,-0.00253328135149104
-4676.818,0.00453378628152138,-0.00259359489958971
-4675.818,0.00463922080722192,-0.00265390825889621
-4674.818,0.00474465516984885,-0.00271422142502001
-4673.818,0.00485008936569594,-0.0027745343935706
-4672.818,0.00495552339105698,-0.00283484716015746
-4671.818,0.00506095724222576,-0.00289515972039008
-4670.818,0.00516639091549605,-0.00295547206987795
-4669.818,0.00527182440716163,-0.00301578420423053
-4668.818,0.00537725771351628,-0.00307609611905733
-4667.818,0.00548269083085379,-0.00313640780996783
-4666.818,0.00558812375546794,-0.0031967192725715
-4665.818,0.00569355648365252,-0.00325703050247783
